surl,nombre,fecha,sitio
MTB   http://www.bike-fourpeaks.de/,BIKE Four Peaks (A),Wed 15.06.2016 bis,"Erbach, Germany"
Running   http://www.loerrach.de/ceasy/modules/cms/main.php5?cPageId=129,"Lörracher Stadtlauf, Lörrach (D)",Thu 16.06.2016,"Lörrach, Germany"
Running   http://www.zugspitz-ultratrail.com/,"Salomon Zugspitz Ultratrail, Grainau (D)",Fri 17.06.2016 bis,"Grainau, Germany"
Running   http://www.wake-up-and-run.ch/,"Wake up and run, Lausanne",Fri 17.06.2016,"Lausanne, Switzerland"
Triathlon   http://www.zytturmtriathlon.ch/,"Zytturm-Triathlon, Zug",Sat 18.06.2016+,"Zug, Switzerland"
MTB   http://www.herodolomites.bike,"Sellaronda Hero, Selva Val Gardena (I)",Sat 18.06.2016,"Wolkenstein in Gröden, Italy"
MTB   http://www.ultra-bike.de,"Black Forest ULTRA Bike Marathon, Kirchzarten (D)",Sat 18.06.2016+,"Kirchzarten, Germany"
Running   http://www.zuerilaufcup.ch,"Wylandlauf, Andelfingen",Sat 18.06.2016,"Andelfingen, Switzerland"
MTB   http://www.kitzalpbike.at,"KitzAlpBike, Kirchberg in Tirol (A)",Wed 22.06.2016 bis,"Kirchberg in Tirol, Austria"
"Running,Walking   http://abendlauf.lgd.ch/web/","Derendinger Abendlauf, Derendingen",Fri 24.06.2016,"Derendingen, Switzerland"
Running   http://www.lauerzerseelauf.ch/,"Lauerzerseelauf, Seewen SZ",Fri 24.06.2016,"Seewen SZ, Switzerland"
